Country,Country Code,People using  safely managed drinking water services  % of population 2017,People using  safely managed sanitation services  % of population 2017,Access to electricity  % of population 2017,Renewable energy consumption  % of total final energy consumption 2015,Expenditures for R&D  % of GDP 2015,Urban population living in slums  % of urban population 2014,Ambient PM2.5 air pollution mean annual exposure micrograms per cubic meter 2016,Adjusted net savings  % of GNI 2017,Carbon dioxide emissions per capita metric tons 2014,Nationally protected terrestrial and marine areas  % of total territorial area 2018,"Intentional homicides Combined source estimates per 100,000 people 2015",Internet use Individuals using the Internet % of population 2017
Kenya,KEN,NA,NA,63.8,72.7,NA,56,28.6,-2.2,0.3,10.5,4.8,17.8
Kiribati,KIR,NA,NA,98.6,4.3,NA,NA,10.5,NA,0.6,11.8,7.5,14.6
"Korea, Dem. People’s Rep.",PRK,66.6,NA,43.9,23.1,NA,NA,31.8,NA,1.6,1.3,NA,NA
"Korea, Rep.",KOR,98.2,99.9,100,2.7,4.2,NA,25.1,20.1,11.6,4,0.7,95.1
Kuwait,KWT,100,100,100,0,0.1,NA,60.8,14.6,25.8,11,1.8,100
Kyrgyz Republic,KGZ,68.2,NA,100,23.3,0.1,NA,23.2,12.9,1.6,6.7,5.2,38
Lao PDR,LAO,16.1,58.1,93.6,59.3,NA,31.4,25.8,-1.2,0.3,16.7,NA,25.5
Latvia,LVA,95.2,85.8,100,38.1,0.6,NA,13.4,6,3.5,17.5,3.4,80.1
Lebanon,LBN,47.7,21.8,100,3.6,NA,NA,30.2,-16.9,3.8,1,3.9,78.2
Lesotho,LSO,NA,NA,33.7,52.1,0,50.8,28.3,8.2,1.2,0.3,41.2,29
Liberia,LBR,NA,NA,21.5,83.8,NA,65.7,17.9,-99,0.2,1.2,3.2,8
Libya,LBY,NA,26.1,70.1,2,NA,NA,52.1,NA,9,0.3,NA,21.8
Liechtenstein,LIE,100,99.7,100,63.1,NA,NA,NA,NA,1.2,11.9,0,98.1
Lithuania,LTU,92,91.3,100,29,1,NA,11.8,NA,4.4,17.8,5.9,77.6
Luxembourg,LUX,99.7,96.6,100,9,1.3,NA,10.3,20.9,17.4,40.9,0.9,97.4
Madagascar,MDG,NA,NA,24.1,70.2,0,77.2,22.9,7.7,0.1,2.3,NA,9.8
Malawi,MWI,NA,NA,12.7,83.6,NA,66.7,23.1,-16.7,0.1,22.9,1.7,13.8
Malaysia,MYS,93.3,88.6,100,5.2,1.3,NA,15.8,10,8.1,9,2.1,80.1
Maldives,MDV,NA,NA,99.8,1,NA,NA,8,NA,3.1,0.1,0.8,63.2
Mali,MLI,NA,18.7,43.1,61.5,0.3,56.3,38.5,-2.3,0.1,8.2,NA,13
Malta,MLT,100,93,100,5.4,0.7,NA,13.8,NA,5.4,6.4,0.9,81
Marshall Islands,MHL,NA,NA,94.8,11.2,NA,NA,10.2,NA,1.8,0.3,NA,38.7
Mauritania,MRT,NA,NA,42.9,32.2,NA,79.9,46.7,-10.3,0.7,1.1,NA,20.8
Mauritius,MUS,NA,NA,98,11.5,0.4,NA,14.3,-6.4,3.4,0,1.7,55.4
Mexico,MEX,42.9,50.4,100,9.2,0.5,11.1,20.7,7.5,4,19.1,16.5,63.9
"Micronesia, Fed. Sts.",FSM,NA,NA,80.8,1.2,NA,NA,11.1,NA,1.4,0,NA,35.3
Moldova,MDA,72.9,NA,100,14.3,0.3,NA,16.4,14.7,1.4,4.2,3.2,76.1
Monaco,MCO,100,100,100,NA,NA,NA,NA,NA,NA,99.5,0,97.1
Mongolia,MNG,23.7,NA,85.9,3.4,0.2,42.7,38.2,-10.3,7.1,17.7,6.2,23.7
Montenegro,MNE,93.6,NA,100,43,0.4,NA,20.9,NA,3.6,4.2,2.7,71.3
Morocco,MAR,70.3,38.8,100,11.3,NA,13.1,32.9,20.9,1.8,18.4,1.2,61.8
Mozambique,MOZ,NA,NA,27.4,86.4,0.3,80.3,21.5,-13.5,0.3,13.4,NA,10
Myanmar,MMR,NA,NA,69.8,61.5,0,41,36,23.1,0.4,4.6,2.2,30.7
Namibia,NAM,NA,NA,52.5,26.5,0.3,33.2,25.6,4.5,1.7,23.2,17.1,51
Nepal,NPL,27.2,NA,95.5,85.3,NA,54.3,98.1,38.1,0.3,23.6,2.2,34
Netherlands,NLD,100,97.5,100,5.9,2,NA,12,18.4,9.9,21.2,0.6,93.2
New Caledonia,NCL,96.7,NA,100,4.8,NA,NA,NA,NA,16,96,NA,82
New Zealand,NZL,100,88.7,100,30.8,1.2,NA,6,13.9,7.7,30.5,1,90.8
Nicaragua,NIC,51.6,NA,86.8,48.2,0.1,NA,17.7,14.4,0.8,15.5,8.6,27.9
Niger,NER,NA,9.6,20,78.9,NA,70.1,87.7,5,0.1,17.3,4.4,10.2
Nigeria,NGA,20.1,26.7,54.4,86.6,NA,50.2,71.4,1.4,0.5,11.6,NA,42
Northern Mariana Islands,MNP,90.2,NA,100,0,NA,NA,9.9,NA,NA,33.2,NA,NA
Norway,NOR,98.3,76.3,100,57.8,1.9,NA,7,16.9,9.3,5.1,0.5,96.4
Oman,OMN,90.3,NA,100,0,0.2,NA,41.8,-11.3,15.2,1,0.4,80.2
Pakistan,PAK,35.3,NA,70.8,46.5,0.2,45.5,58.6,12.7,0.9,9.8,5,15.5
Palau,PLW,NA,NA,100,0,NA,NA,NA,NA,14.8,82.9,NA,NA
Panama,PAN,NA,NA,100,21.2,0.1,25.8,11.5,25.3,2.3,5.2,11.9,57.9
Papua New Guinea,PNG,NA,NA,54.4,52.5,0,NA,12.6,NA,0.8,0.7,NA,11.2
Paraguay,PRY,63.9,58.5,99.3,61.7,0.1,NA,11.6,14.5,0.9,14.3,9.3,61.1
Peru,PER,50.4,42.8,96.4,25.5,0.1,34.2,25.5,7.1,2.1,13.1,7.2,48.7
Philippines,PHL,46.7,51.6,93,27.5,0.2,38.3,18.2,28.5,1.1,3.1,9.5,60.1
Poland,POL,99.2,93.3,100,11.9,1,NA,21,10.6,7.5,38.1,0.8,76
Portugal,PRT,95.3,84.7,100,27.2,1.2,NA,8.1,3.4,4.3,16.9,1,73.8
Puerto Rico,PRI,94.1,32.5,100,1.8,0.4,NA,8.3,NA,NA,2,16.7,70.6
Qatar,QAT,96.2,96,100,0,0.5,NA,88.2,26.8,43.9,4.7,0.4,97.4
Romania,ROU,81.9,76.5,100,23.7,0.5,NA,14.5,3.4,3.5,24.3,1.5,63.7
Russian Federation,RUS,76,61.3,100,3.3,1.1,NA,16.2,8,11.9,7.6,11.6,76
Rwanda,RWA,NA,NA,34.1,86.7,0.7,53.2,42.8,-4.4,0.1,9.1,2.5,21.8
Samoa,WSM,58.8,48.5,96.8,34.3,NA,NA,11.4,NA,1,0.2,3.1,33.6
San Marino,SMR,100,77.2,100,NA,NA,NA,NA,NA,NA,NA,NA,60.2
Sao Tome and Principe,STP,NA,NA,72.5,41.1,NA,86.6,28.7,NA,0.6,0.2,NA,29.9
Saudi Arabia,SAU,NA,77.8,100,0,0.8,NA,84.5,13.4,19.4,4.5,1.5,82.1
Senegal,SEN,NA,21.5,61.7,42.7,0.6,39.4,38.7,12.3,0.6,14.6,NA,46
Serbia,SRB,74.7,24.7,100,21.2,0.8,NA,24.8,-3.2,5.3,6.6,1.2,70.3
Seychelles,SYC,NA,NA,100,1.4,0.2,NA,20.4,NA,5.4,0.1,7.5,58.8
Sierra Leone,SLE,9.9,13.3,23.4,77.7,NA,75.6,21.3,-33.5,0.2,3.3,1.7,9
Singapore,SGP,100,100,100,0.7,2.3,NA,18.8,36.8,10.3,2.5,0.3,84.4
